step,train_loss,val_loss,lr,tokens_per_sec
0,10.9205,,0.000001,7668
20,10.2318,,0.000025,7026
40,9.6024,,0.000049,6185
60,8.9692,,0.000073,5971
80,8.3252,,0.000097,5973
100,7.6603,,0.000121,5987
120,7.2828,,0.000145,5968
140,6.9363,,0.000169,5975
160,6.6781,,0.000193,5956
180,6.5418,,0.000217,5921
200,6.3907,,0.000241,5937
220,6.2018,,0.000265,5928
240,6.1255,,0.000289,5931
260,5.9927,,0.000313,5935
280,5.7593,,0.000337,5928
300,5.7819,,0.000361,5943
320,5.6526,,0.000385,5928
340,5.5826,,0.000409,5924
360,5.5111,,0.000433,5934
380,5.4770,,0.000457,5950
400,5.4005,,0.000481,5957
420,5.3042,,0.000505,5929
440,5.3656,,0.000529,5945
460,5.1846,,0.000553,5930
480,5.1647,,0.000577,5934
500,5.0648,,0.000600,5918
500,5.0350,5.0330,0.000600,
520,5.0243,,0.000600,5920
540,4.9444,,0.000600,5952
560,5.0193,,0.000600,5934
580,4.9005,,0.000600,5939
600,4.8559,,0.000600,5924
620,4.7891,,0.000600,5936
640,4.7744,,0.000600,5932
660,4.7236,,0.000600,5925
680,4.6583,,0.000600,5934
500,5.1637,,0.000600,4686
500,5.0228,5.0056,0.000600,
520,4.9649,,0.000600,6628
540,4.8702,,0.000600,7432
560,4.9529,,0.000600,7447
580,4.9626,,0.000600,7451
600,4.8005,,0.000600,7454
620,4.8145,,0.000600,7448
640,4.7676,,0.000600,7445
660,4.7069,,0.000600,7451
680,4.7331,,0.000600,7399
700,4.6331,,0.000600,7445
720,4.5563,,0.000600,7442
740,4.5065,,0.000600,7437
760,4.5322,,0.000600,7441
780,4.3839,,0.000600,7432
800,4.3626,,0.000600,7450
820,4.3385,,0.000600,7440
840,4.3310,,0.000600,7446
860,4.3700,,0.000600,7435
880,4.2774,,0.000599,7425
900,4.2067,,0.000599,7424
920,4.2187,,0.000599,7423
940,4.1772,,0.000599,7414
960,4.1754,,0.000599,7442
980,4.2858,,0.000599,7434
1000,4.2430,,0.000599,7432
1000,4.1927,4.1233,0.000599,
1020,4.2091,,0.000599,6612
1040,4.1679,,0.000599,7434
1000,4.2522,,0.000599,4136
1000,4.1534,4.1405,0.000599,
1020,4.0871,,0.000599,6021
1040,4.0370,,0.000599,6391
1060,4.1283,,0.000599,6394
1000,4.1837,,0.000599,6513
1250,4.0158,4.0052,0.000598,
1260,3.9477,,0.000598,6872
1280,3.8257,,0.000598,7430
1300,3.8664,,0.000598,7429
1300,4.0300,4.0003,0.000598,
1320,3.8416,,0.000598,6944
1340,3.8044,,0.000598,7400
1350,3.9852,4.0034,0.000597,
1360,3.7874,,0.000597,6545
1380,3.8575,,0.000597,7422
1400,3.7999,,0.000597,7437
1400,3.9718,3.9910,0.000597,
1420,3.8367,,0.000597,7003
1440,3.7295,,0.000597,7412
1450,3.9758,3.9769,0.000597,
1460,3.7186,,0.000597,5853
1480,3.6798,,0.000597,7428
1500,3.7332,,0.000597,7427
1500,3.8926,3.9427,0.000597,
1520,3.8365,,0.000596,6573
1540,3.8363,,0.000596,7424
1550,3.8926,3.8913,0.000596,
1560,3.8709,,0.000596,5921
1580,3.8840,,0.000596,7415
1600,3.9404,,0.000596,7431
1600,3.8734,3.9173,0.000596,
1620,3.8540,,0.000596,6942
